#timestamp_UTC; ACTIVE_POWER_L1; ACTIVE_POWER_L2; ACTIVE_POWER_L3; REACTIVE_POWER_L1; REACTIVE_POWER_L2; REACTIVE_POWER_L3; VOLTAGE_L1; VOLTAGE_L2; VOLTAGE_L3; CURRENT_L1; CURRENT_L2; CURRENT_L3; FREQUENCY; ACTIVE_POWER; REACTIVE_POWER; ACTIVE_PRODUCTION_ENERGY; ACTIVE_CONSUMPTION_ENERGY; SUM_CURRENT
2021-08-11T11:18:18.629490;305.494873046875;272.8301086425781;606.479248046875;-713.3576049804688;-1066.090087890625;-915.8043823242188;231.35501098632812;228.8123321533203;228.9149932861328;4.035817623138428;5.255683422088623;5.632974624633789;50.00648880004883;1686.087158203125;-2713.79345703125;135.8201904296875;7062.96484375;0.101375050842762
2021-08-11T11:18:20.023279;424.3528137207031;395.0192565917969;726.766357421875;-719.0848388671875;-1071.9158935546875;-918.2621459960938;231.33546447753906;228.7637939453125;228.94480895996094;3.941999912261963;5.195732116699219;5.462113380432129;50.00520324707031;1545.876220703125;-2707.320068359375;135.8201904296875;7063.72998046875;0.10776347666978836
2021-08-11T11:18:21.597561;641.6239624023438;606.3726806640625;936.3734130859375;-710.5697631835938;-1057.021728515625;-908.9100341796875;231.8927764892578;229.13088989257812;229.45974731445312;4.6649932861328125;5.651007175445557;6.195558071136475;50.003578186035156;2184.3701171875;-2676.50146484375;135.8201904296875;7064.48095703125;0.0896548256278038
2021-08-11T11:18:23.095950;309.6522216796875;282.7204284667969;621.0952758789062;-706.5611572265625;-1065.9168701171875;-907.9727172851562;231.6711883544922;229.14340209960938;229.41055297851562;3.7009551525115967;5.009403705596924;5.168604373931885;50.002037048339844;1213.468017578125;-2680.45068359375;135.8201904296875;7065.10986328125;0.08435700833797455
2021-08-11T11:18:24.730276;306.8589172363281;280.08465576171875;611.2774047851562;-712.8707885742188;-1066.689453125;-911.6622924804688;231.50001525878906;229.1655731201172;229.23046875;3.717458963394165;5.005247116088867;5.168574810028076;50.00116729736328;1197.1588134765625;-2689.979248046875;135.8201904296875;7065.642578125;0.08274685591459274
2021-08-11T11:18:26.381563;364.2823181152344;324.2807922363281;644.6110229492188;-718.4190673828125;-1051.020751953125;-915.495361328125;231.9901885986328;229.6265411376953;229.73316955566406;3.899505138397217;5.017077445983887;5.26390266418457;49.999916076660156;1457.291748046875;-2692.06640625;135.8201904296875;7066.42626953125;0.09305287152528763
2021-08-11T11:18:27.932172;465.251953125;403.76397705078125;728.2945556640625;-727.20849609375;-1052.8660888671875;-946.3624267578125;231.10128784179688;228.79409790039062;228.85772705078125;5.3990607261657715;6.166167736053467;6.921461582183838;49.9983024597168;2929.597412109375;-2726.43701171875;135.8201904296875;7067.11669921875;0.09008333832025528
2021-08-11T11:18:29.365885;380.3699035644531;326.0167541503906;651.8319091796875;-706.1007080078125;-1039.0845947265625;-918.091552734375;231.1327667236328;229.22357177734375;229.06321716308594;3.9524660110473633;5.071094036102295;5.363539695739746;49.996437072753906;1358.218505859375;-2663.27685546875;135.8201904296875;7068.06005859375;0.08494763821363449
2021-08-11T11:18:30.737261;450.3265380859375;395.4075927734375;722.698486328125;-706.314453125;-1039.818359375;-918.8650512695312;231.39556884765625;229.21722412109375;229.41334533691406;4.08662223815918;5.172837734222412;5.527947425842285;49.99494171142578;1568.4326171875;-2664.997802734375;135.8201904296875;7068.671875;0.08291631191968918
2021-08-11T11:18:32.133890;2321.3291015625;2223.387451171875;2570.253662109375;-492.75238037109375;-831.0421752929688;-736.0328979492188;230.84732055664062;228.8261260986328;228.8689727783203;10.4453125;10.519879341125488;11.889846801757812;49.993892669677734;7114.970703125;-2059.827392578125;135.8201904296875;7069.70068359375;0.09038538485765457
2021-08-11T11:18:33.622789;534.0697631835938;459.0369567871094;796.68701171875;-440.33502197265625;-777.7484741210938;-674.4266357421875;231.11441040039062;229.08392333984375;229.12815856933594;3.5427446365356445;4.329158306121826;5.044844627380371;49.99320983886719;1789.793701171875;-1962.3345947265625;135.8201904296875;7071.89208984375;0.0842374637722969
2021-08-11T11:18:35.125448;1052.783203125;998.0344848632812;1332.447021484375;-461.47705078125;-812.154296875;-687.0486450195312;230.96827697753906;228.82891845703125;229.0546875;5.339117050170898;5.879373073577881;6.918426513671875;49.99248504638672;3394.69970703125;-1960.679931640625;135.8201904296875;7073.1884765625;0.08149271458387375
2021-08-11T11:18:36.734982;926.6541137695312;881.000244140625;1223.4715576171875;-469.5826416015625;-830.965087890625;-689.0895385742188;231.23951721191406;229.32330322265625;229.35772705078125;4.718288421630859;5.4441070556640625;6.39186954498291;49.99155807495117;3011.5439453125;-1984.343017578125;135.8201904296875;7074.61572265625;0.08200583606958389
2021-08-11T11:18:38.160012;913.5936279296875;878.3619995117188;1218.7576904296875;-470.538330078125;-836.2183837890625;-683.8422241210938;230.864501953125;229.05723571777344;228.90786743164062;4.725338459014893;5.460962772369385;6.399239540100098;49.991573333740234;3010.71337890625;-1990.598876953125;135.8201904296875;7075.95458984375;0.07864006608724594
2021-08-11T11:18:39.588370;914.3264770507812;884.5078735351562;1219.441162109375;-473.3334655761719;-836.993896484375;-682.577880859375;230.9829559326172;229.2756805419922;229.0922088623047;4.7252373695373535;5.46347188949585;6.397104263305664;49.992645263671875;3009.58056640625;-1994.135986328125;135.8201904296875;7077.126953125;0.08016934245824814
